SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
0887600003031000,42.9253119207,-78.881425615,2015,235000,804 RICHMOND,220,TWO FAMILY DWELLING
0896300001012000,42.9269098483,-78.8706517096,2011,345000,32 CLARENDON,210,ONE FAMILY DWELLING
0888300005007000,42.9218198304,-78.8879841687,2013,65000,309 DELAVAN WEST,210,ONE FAMILY DWELLING
0903200010010000,42.9367820812,-78.8187373501,2005,12500,22 THATCHER,210,ONE FAMILY DWELLING
0904600006011000,42.9322058339,-78.8258899961,2013,24000,16 PALOS,220,TWO FAMILY DWELLING
0896300003014000,42.926699514,-78.8681834009,2004,70000,1568 DELAWARE,220,TWO FAMILY DWELLING
0902400001016000,42.9414027038,-78.8181924203,2014,29000,211 STOCKBRIDGE,220,TWO FAMILY DWELLING
0902600001012000,42.9414087612,-78.8068831368,1997,29900,197 WESTMINSTER,210,ONE FAMILY DWELLING
0896200003016000,42.9272161319,-78.8729047029,2016,1402000,25 LINCOLN,210,ONE FAMILY DWELLING
0903200003029000,42.9388804589,-78.8180703093,2018,43000,93 THATCHER,210,ONE FAMILY DWELLING
0903400007030000,42.938323669,-78.8082517042,1992,39000,78 FENNIMORE,210,ONE FAMILY DWELLING
0887400007009000,42.9238571679,-78.8966307239,2014,40000,71 POTOMAC,210,ONE FAMILY DWELLING
0891400001017000,42.9285189971,-78.868246315,2011,280000,12 RUMSEY RD,210,ONE FAMILY DWELLING
0896900003013100,42.9245691338,-78.8774440038,2019,2000000,1006 ELMWOOD,482,DOWNTOWN ROW TYPE (DETACHED)
0904100008005000,42.9348415031,-78.8126108702,2006,14000,25 MILLICENT,210,ONE FAMILY DWELLING
0904600006005000,42.9326427546,-78.8259637176,2010,13000,727 KENSINGTON,220,TWO FAMILY DWELLING
0897700001014000,42.9224298681,-78.8805845826,2012,254000,508 DELAVAN WEST,210,ONE FAMILY DWELLING
0903200004045000,42.9388581583,-78.8158263941,1994,47900,38 MIDWAY,220,TWO FAMILY DWELLING
0888400003012000,42.9228324298,-78.8833610323,1995,130000,134 DORCHESTER,210,ONE FAMILY DWELLING
0898400001025000,42.9209761628,-78.8396978218,1997,28000,1736 FILLMORE,435,MANUAL CAR WASH
0890500003019000,42.9371713381,-78.8717736277,2002,211000,271 LINCOLN,210,ONE FAMILY DWELLING
0897800001055000,42.92194746,-78.8760598321,2015,305000,625 DELAVAN WEST,230,THREE FAMILY DWELLING
0904000007020000,42.934919858,-78.8158495485,2005,42000,1 COPSEWOOD,220,TWO FAMILY DWELLING
0892700001018100,42.9412032526,-78.8473287613,2018,170100,293 SUMMIT,210,ONE FAMILY DWELLING
0898300002033000,42.9206806059,-78.8451760092,2016,12000,19 DAISY,210,ONE FAMILY DWELLING
0904200002009000,42.9363359887,-78.8054737442,1996,33900,215 HASTINGS,210,ONE FAMILY DWELLING
0902100004010000,42.9416641898,-78.8328739342,2019,210000,69 DEPEW EAST,220,TWO FAMILY DWELLING
0903900004020000,42.9356762793,-78.8212974496,1997,13000,29 PARKRIDGE,210,ONE FAMILY DWELLING
0896900001016100,42.9247592641,-78.8801222128,2018,462000,92 CLAREMONT,281,MULTIPLE RESIDENCES
0903800005005000,42.9358438587,-78.8262872925,1997,38000,100 FEDERAL,220,TWO FAMILY DWELLING
0898000001017100,42.9207929198,-78.8646810817,2013,100000,900 LAFAYETTE AVE,220,TWO FAMILY DWELLING
0904100005003000,42.934851889,-78.8100228638,2007,24000,93 MILLICENT,210,ONE FAMILY DWELLING
